Note, Blocked=TRUE IPs will stop having their metrics updated as they have been blocked.						
						
TotalIps: 3138, TotalTxs: 4097594, AvgFees: 251711						
						
IP	TxCount	DupCount	AvgFee	MinFee	MaxFee	Blocked
207.211.180.83	159574	569370	295579	5000	300005000	FALSE
150.136.65.146	153850	635724	345805	5000	300005000	FALSE
152.67.227.184	152786	503724	308502	5000	400005000	FALSE
129.146.189.124	149290	519181	293753	5000	200005000	FALSE
130.61.39.71	128384	294731	59886	5000	300005000	TRUE
129.213.31.98	127960	458419	309059	5000	300005000	FALSE
130.61.102.57	126693	461847	59776	5000	200005001	TRUE
129.146.82.1	126502	413471	249005	5000	300005000	FALSE
129.146.253.157	126247	505752	381720	5000	710005000	FALSE
132.145.196.106	116174	590668	477170	5000	300005000	FALSE
129.213.86.119	114591	389740	265380	5000	1000005000	FALSE
130.61.234.179	112814	374204	59547	5000	100005000	TRUE
130.61.45.43	107497	329652	59854	5000	100005000	TRUE
146.235.207.141	106863	324469	247788	5000	500005071	FALSE
132.145.138.133	99587	365158	284620	5000	150005000	FALSE
149.130.223.150	98621	315051	281523	5000	300005000	FALSE
146.235.218.241	92928	284187	276885	5000	300005000	FALSE
130.61.228.203	88479	262308	59784	5000	100005000	TRUE
84.235.167.90	88096	201039	59663	5000	100005000	TRUE
130.61.36.48	87178	199777	59645	5000	200005000	TRUE
129.213.82.33	86474	334884	298457	5000	132005000	FALSE
150.136.34.176	81782	270685	155807	5000	200005000	FALSE
165.1.72.171	81641	242644	439863	5000	1000005000	FALSE
130.61.36.36	80276	269911	65486	5000	150005000	TRUE
150.136.210.168	75043	208018	250883	5000	500005085	FALSE
150.136.219.224	68210	228347	249650	5000	100005000	FALSE
129.213.81.108	67192	274746	330299	5000	710005000	FALSE
132.145.196.79	65332	395729	352809	5000	300005000	FALSE
131.186.2.73	62946	209889	462853	5000	300005000	FALSE
129.213.31.40	60477	300226	208443	5000	300005000	FALSE
158.101.208.211	60117	112467	117059	5000	220005000	FALSE
193.123.63.100	59253	112435	97545	5000	110005000	FALSE
150.136.220.5	57671	299958	499834	5000	1000005000	FALSE
165.1.66.229	52816	218911	621594	5000	300005000	FALSE
207.211.188.203	43847	148409	353693	5000	200005000	FALSE
69.2.39.165	39291	59748	184494	5000	200005001	FALSE
158.101.14.31	38206	140093	372846	5000	500005069	FALSE
165.1.67.240	30252	92187	205679	5000	51005000	FALSE
207.211.184.34	30183	95087	626585	5000	300005000	FALSE
129.146.250.173	25584	91061	517590	5000	150005000	FALSE
150.136.144.65	24416	96615	340295	5000	150005000	FALSE
164.152.106.244	24391	65465	277577	5000	100005000	FALSE
149.130.218.55	24239	98825	722959	5000	710005000	FALSE
129.213.23.54	19138	64916	591763	5000	300005000	FALSE
79.127.242.19	17050	96036	127106	5000	70005000	FALSE
150.136.93.36	15076	64993	782075	5000	1000005000	FALSE
129.146.174.46	14509	65429	875941	5000	1000005000	FALSE
74.118.139.6	13826	17195	21876	5000	10005000	TRUE
46.4.161.196	13338	8660	106002	6000	100010000	TRUE
208.91.107.227	12107	129	105900	22519	2005000	FALSE
38.92.47.130	10722	7905	110464	6000	70010000	TRUE
158.101.29.11	10169	31118	382021	5000	100005000	FALSE
149.130.215.159	8772	34852	520342	5000	200005000	FALSE
64.130.50.50	8563	34	175177	13073	8402890	FALSE
129.146.31.202	7721	26223	386911	5000	100000000	FALSE
129.213.85.188	7367	19703	325481	5000	100005000	FALSE
146.59.69.241	7346	35125	52148	5000	40005000	TRUE
191.96.186.81	7164	4494	51030	8556	11616000	TRUE
107.155.103.194	6450	25173	39471	5000	20005000	TRUE
141.98.219.49	5586	39038	132206	5000	120010000	FALSE
186.233.186.155	4602	15226	248430	5000	1000005000	TRUE
191.96.101.32	4479	7731	59347	5720	12399000	TRUE
185.8.107.164	4305	55918	712704	6089	740834	FALSE
132.145.135.36	4183	22774	837413	5000	1000005000	FALSE
103.106.59.211	3922	16123	40675	5000	10005000	TRUE
141.98.216.39	3837	14069	100733	5000	200005000	TRUE
186.233.187.165	3110	8920	48067	5000	10005000	TRUE
185.229.191.109	2840	1867	59413	15898	1505000	TRUE
131.153.202.113	2313	4078	84669	6000	12430000	FALSE
147.75.85.153	2214	3127	29579	5000	5005000	TRUE
185.8.107.31	2210	23980	718434	674067	740834	FALSE
154.16.169.234	2135	3897	109029	6000	20005000	FALSE
131.153.243.59	1944	4838	101262	6000	12271000	FALSE
141.98.217.20	1919	3155	55535	5000	1005000	TRUE
129.213.144.15	1911	9465	31965	5001	10005000	TRUE
131.153.158.139	1881	4856	84838	6000	10103000	FALSE
130.61.36.216	1818	6383	48147	5000	40005000	TRUE
135.148.154.197	1799	5674	14240	5100	161885	TRUE
185.8.107.32	1785	30678	722071	674067	740834	FALSE
202.8.9.72	1764	5027	122532	5000	100005000	TRUE
130.61.234.16	1727	7431	54094	5001	10005000	TRUE
45.250.255.121	1665	4701	101433	6000	22005000	FALSE
185.8.106.241	1633	32104	721251	674067	740834	FALSE
130.61.46.93	1629	4632	53103	5000	30005000	TRUE
91.90.43.10	1627	5715	28847	5000	10005000	TRUE
89.44.211.18	1625	7570	69802	5000	12005000	TRUE
208.91.107.171	1567	2034	13268	12000	31000	TRUE
204.16.244.99	1562	26904	100717	5000	30005000	TRUE
185.8.107.69	1559	29392	719759	674134	740834	FALSE
67.209.53.38	1531	5878	82689	6000	22005000	FALSE
141.98.216.181	1492	20	148689	13114	6584350	FALSE
5.199.164.144	1474	5775	110013	6000	22005000	FALSE
5.199.164.147	1422	5722	87957	6000	12232000	FALSE
130.61.86.185	1361	6365	56968	5001	30005000	TRUE
185.8.106.187	1328	33765	719642	674000	740834	FALSE
74.118.140.109	1276	1980	101669	5000	20005000	FALSE
67.209.52.26	1219	2162	215464	5000	20005000	TRUE
74.118.140.24	1215	2314	167205	5000	30005000	TRUE
74.118.140.110	1209	2254	199485	5000	50005000	FALSE
64.185.225.66	1208	1503	40636	6000	6505000	TRUE
74.118.140.103	1141	2183	182035	5000	50005000	FALSE
67.209.52.28	1123	1861	139471	5000	15005001	TRUE
158.178.238.94	957	2584	63657	5000	15166607	TRUE
140.83.39.84	942	8009	20007	5010	1259131	TRUE
46.4.161.195	844	132	55603	8300	10248000	TRUE
208.91.104.134	840	1939	142760	6000	40010000	FALSE
158.101.138.50	827	2628	10519	5010	189048	TRUE
202.8.8.182	817	4654	30040	5001	7505001	TRUE
15.204.133.168	770	3353	13661	5100	35000	TRUE
135.125.227.231	736	3571	127974	5880	20005000	FALSE
3.137.142.249	719	1379	168191	5000	20005000	FALSE
185.8.107.244	715	4456	266177	5878	740633	FALSE
51.195.72.142	711	3646	102464	5900	20005000	FALSE
130.61.145.201	709	2770	33259	5029	1605000	TRUE
202.8.11.28	699	3273	161109	5000	10005000	FALSE
51.38.103.216	690	3839	116801	5880	10005155	FALSE
132.145.127.227	687	4569	19938	5010	275000	TRUE
51.75.154.84	677	3277	175047	5900	10005138	FALSE
3.19.209.24	670	1388	89973	5002	10005000	FALSE
51.195.72.165	667	3220	135778	5900	20005000	FALSE
34.78.24.193	665	522	15918	12809	55000	TRUE
135.125.227.202	662	3599	150691	5880	20005000	FALSE
18.216.49.91	661	1242	292131	5000	100005000	FALSE
51.89.9.110	660	2632	69817	5880	10005102	FALSE
204.16.245.182	657	2934	122864	5000	20005000	FALSE
130.61.36.206	657	1301	31819	5001	10005000	TRUE
51.195.72.161	655	3535	133118	5900	10005104	FALSE
54.38.218.56	647	2645	122284	5900	20005000	FALSE
54.37.95.46	645	2810	139355	5900	10005157	FALSE
130.61.39.78	643	2414	89220	5000	20005000	TRUE
130.61.81.52	642	2818	42813	5000	10005000	TRUE
103.106.59.41	642	3220	12105	12101	12353	TRUE
54.37.197.136	640	2774	107968	5900	20005000	FALSE
158.101.138.130	636	3005	7320	5010	275000	TRUE
202.8.9.99	634	2128	5443	5001	101900	TRUE
54.38.217.141	628	3597	105663	5880	10005159	FALSE
51.89.9.87	615	2969	157197	5900	10005145	FALSE
45.129.84.179	613	2038	18449	9584	30100	TRUE
51.38.121.163	611	2827	192620	5880	20005000	FALSE
18.216.218.212	602	1586	225222	5000	40005000	FALSE
3.138.184.47	600	1387	198980	5000	20005000	FALSE
51.77.79.255	599	2672	110502	5880	10005149	FALSE
18.221.213.107	598	1246	145167	5000	12005000	FALSE
162.19.222.94	585	2898	265801	5900	50005000	FALSE
141.148.235.4	583	2562	61910	5000	10005000	TRUE
204.16.245.179	575	2579	86294	5000	5010000	FALSE
51.75.154.103	572	3002	233956	5900	20005000	FALSE
18.223.23.171	566	1243	179962	5000	10005000	FALSE
54.37.197.132	566	2839	148498	5880	20005000	FALSE
54.37.197.142	563	2736	168958	5880	10005156	FALSE
51.89.9.88	561	2787	87096	5900	20005000	FALSE
51.89.9.89	557	2480	83089	5900	10005153	FALSE
54.37.197.139	544	2744	81584	5880	10005159	FALSE
3.73.182.132	544	3690	20814	5000	415000	TRUE
160.202.131.103	544	3858	31364	5001	1005001	TRUE
15.235.117.89	544	667	15541	6969	16155	TRUE
185.8.107.249	541	2802	690050	6079	740834	FALSE
155.248.187.84	538	1143	15761	5210	275000	TRUE
208.91.107.87	536	53	21445	8443	111470	TRUE
18.217.15.231	535	3140	42931	5000	7505001	TRUE
130.61.43.131	532	3260	52522	5000	2536995	TRUE
